*	@neinasaservice Also ich hab ja in Berlin noch nie einen funktionierenden Bahn Service gesehen ¯\_ (ツ) _ / ¯	Service_und_Kundenbetreuung 
*	Das Menschen immer ihre halbe Lebensgeschichte in der Bahn am Telefon erzählen müssen , verstehe ich nicht .	Atmosphäre 
http://www.facebook.com/152033178165965/posts/958446567524618?comment\_id=958568910845717#152033178165965\_958446567524618\_958568910845717	Re : DB Bahn Lukas Andreatta ... solltest mal öfter mit der Bahn fahren . .. was nützt es wenn ich pünktlich bin und der Zug kommt regelmäßig zu spät . Kopf einschalten . . dann posten .	Zugfahrt#Pünktlichkeit 
http://twitter.com/DerHerrGast/statuses/674642299041746944	" @DB_Bahn das macht mir deutlich mehr Sinn ;-) Zum Glück hat meine S1 heute " " nur " " + 9... Thx für die Auskunft ! "	unklare_Kategorie#nicht_identifizierbare_Kategorie 
*	@DB_Bahn das ist mir bekannt . Aber es gibt doch noch die Modelle vom #vlexx . Werden die irgendwann auch auf der Kuseler Strecke eingesetzt ?	unklare_Kategorie#nicht_identifizierbare_Kategorie 
http://www.facebook.com/152033178165965/posts/957572390945369?comment\_id=958213507547924#152033178165965\_957572390945369\_958213507547924	Re : DB Bahn Verspätete Züge Ausfälle .. Steige Leiber immer zu bus um wenn einer fährt ... die 2 Jahre ist echt schlimm geworden mit der bahn	Zugfahrt#Pünktlichkeit Sonstige_Unregelmaessigkeiten 
http://www.facebook.com/346392590975/posts/10153194714575976?comment\_id=10153195108320976#346392590975\_10153194714575976\_10153195108320976	Re : FAZ . NET - Frankfurter Allgemeine Zeitung Ich finde diese Sichtweise ebenso kurzsichtig . Ich fahre sehr gerne auf Bahnverbindungen , die zeitlich attraktiv sind , und das waren sie aufgrund der deutschen Teilung schlicht lange nicht bei den Ost-West-Verbindungen ... Wer einmal wie ich länger in Japan , China oder Frankreich war , weiß diese Verbindungen zu schätzen . Das große Problem ist hier der Föderalismus , der immer wieder lokale Dörfchen unbedingt mit Halten versorgen will , obwohl der ICE doch eigentlich vorbeifahren sollte . Es sollte meines Erachtens ein politisches Ziel sein , alle ICE-Strecken für mindestens 200 km / h zu ertüchtigen , soweit möglich ( außer vielleicht im Ruhrgebiet ) . Und was Frankfurt-Berlin angeht , so scheint mir der Abschnitt nach Fulda immer noch sehr langsam zu sein ; und die Reisezeit nach Dresden ist jetzt auch nicht gerade kurz , auch nach der NS . Aber Dresden scheint eh etwas abgehängt zu sein , wenn man mal die Reisezeiten nach Berlin so sieht . Und München-Berlin in 4 Stunden ist attraktiv , finde ich , alleine deshalb werden 5 Millionen Menschen vielleicht in Zukunft eher die Bahn nehmen als fliegen .	Zugfahrt#Fahrtzeit_und_Schnelligkeit Zugfahrt#Streckennetz 
*	Re : Hannoversche Allgemeine Zeitung / HAZ In Köln oder Berlin kann man eine Bahn mieten und drin feiern ... sowas wäre cool eine Party durch Hannover :)	unklare_Kategorie#nicht_vorhandene_Kategorie 
http://www.facebook.com/134389623262030/posts/1099901226710860?comment\_id=1100793503288299#134389623262030\_1099901226710860\_1100793503288299	Re : VVS Äh ja . Genau auf solch eine Antwort habe ich gewartet . Da die die S1 von Ehningen 10 nach , 25 nach und 55 nach fährt und die VVS ja auch normalerweise 5 min. Umsteigezeit in Rohr hat ist das wohl die falsche Antwort ... Ich brauche dank der vielen Verspätungen der S1 , S2 , S3 schon täglich ca. 10 bis 20 min. im Schnitt länger . Ich muss oft Gleitzeit aufsparen bzw. dafür nutzen meine Fehlzeit zu kompensieren . Ausserdem möchte ich auch mal daheim bei der Familie sein und nicht wieder irgendwo auf einem Bahnhof , mit anderen wartend auf die verspätete Bahn . Zur Info. .. ich fahre schon nen Bus frueher morgens , um die S Bahn in Echterdingen zu bekommen ...	Zugfahrt#Pünktlichkeit 
http://www.facebook.com/114882878547829/posts/985659271470181?comment\_id=985890898113685#114882878547829\_985659271470181\_985890898113685	Re : Kölner Verkehrs-Betriebe AG Die 4er Tickets der DB gelten die auch bei der KVB weil sonst muss sich meins Freundin am Freitag kein extra Ticket bis zu mir kaufen ???	Ticketkauf 
http://twitter.com/waltscrate/statuses/674530994465185792	RT @MobyNikk : #Bahn Das haben die neue Schnellfahrstrecke Leipzig-Erfurt und der BER gemeinsam : https://t.co/WtiFp9KODc @welt https://t.co/ …	unklare_Kategorie#nicht_identifizierbare_Kategorie 
http://www.gutefrage.net/frage/wie-viel-kostet-es-bitte-es-ist-dringend#answer-186331520	Wie viel kostet es bitte es ist dringend ? bahn.de hilft dir da bestimmt gutefrage.net-Tag : Reise gutefrage.net-Tag : Urlaub	Ticketkauf 
http://twitter.com/wahlborn/statuses/674566964627578880	@mazzomaz @Telekom_hilft @DB_Bahn .. das scheint .. normal .. zu sein	unklare_Kategorie#nicht_identifizierbare_Kategorie 
http://www.youtube.com/watch?v=uZnYAccmwo0#z134g3nwevjhvfawu04ch1dzbkiyfd1jc1s	ALso erlich ich finde die s. .. ALso erlich ich finde die serrie sehr schön doch dassd was mich am meisten erstaund hat dass so etwas bei Regio NRW der DB kommt gibt DB regio Südost doch mal nen tipp ﻿	unklare_Kategorie#nicht_identifizierbare_Kategorie 
*	Reisen mit der Bahn zwischen Lust und Frust Empfehlen Der MDR ist nicht für den Inhalt externer Internetseiten verantwortlich	unklare_Kategorie#nicht_identifizierbare_Kategorie 
http://twitter.com/bckaemper/statuses/674500252301422592	RT @Gelbkopfamazone : Natürlich sagt die Bahn der Fernsehturm sei sicher . Genauso sicher , wie die Trauerweide . Rote Karte zeigen ! #S21 http …	unklare_Kategorie#nicht_vorhandene_Kategorie 
http://www.facebook.com/152033178165965/posts/958639264172015#152033178165965\_958639264172015	Re : DB Bahn " Liebe Bahn , Im folgenden Gespräch mit einem Bekannten , geht es um das Schwarzfahren bzw. um den Missbrauch der BahnCard100 . Es ist schade , dass die Kontrollen in der ersten Klasse so nachlässig durchgeführt werden und ich in jeder Regionalbahn zwei mal kotrolliert und gefragt werde wo ich eingestiegen bin und wohin ich fahren möchte . " " Die müssten ja im Zug sagen " " Neeeh , sie sehen nicht so aus wie der typ auf der karte ! " " Und das machen die nicht , die schauen die im Schnitt 1,6 Sekunden lang an . Es gibt sogar welche die sagen schon " " Ok , danke !!! Möchten Sie was aus dem Bordbistro ? " " bevor ich die richtig aus dem Geldbeutel geholt habe . Und auf der Bahncard hab ich die längeren Schwarzen Haare , und in real life kurze blonde . Also schon ein Unterschied , und das überprüfen die keine Sekunde lang . Ich glaube ich könnte auch die alte abgelaufene zeigen . Nach dem Ausweiß fragen sie auch nicht , obwohl man den Laut den AGB bei der 100 mit sich führen soll . Den wollen sie immer nur bei den leuten sehen die online gebucht und was ausgedruckt haben . Hab dir ja auch schonmal erzählt dass ich damit einfach immer 1. Klasse fahre und 9 von 10 nichtmal wissen dass die bc100 für erste Klasse anders aussieht . Hatte mal einen von **nach **, der hat mich darauf hingewiesen bzw höflich gefragt ob ich ein upgrade hätte , da stellst dich einfach ein wenig blöd und peinlich berührt und dann sagt der auch " " hmm ... jaah . also bestellen sie sich doch noch einen Kaffee und dann passt das so " " " " Mein Wunsch : " " Gleiche Kontrollen überall " " . Danke ;) PS. : Gibt's für das verpfeifen ggf. ein paar BahnCard Prämienpunkte ? "	Service_und_Kundenbetreuung#Zugbetreuung Ticketkauf 
http://twitter.com/Urschoepfer/statuses/674459506902999040	RT @quirlimum : Ich fahre grade Bahn ... 28min . voller Ereignisse die einen kompletten Blog füllen würden ...	unklare_Kategorie#nicht_identifizierbare_Kategorie 
