*	@neinasaservice Also ich hab ja in Berlin noch nie einen funktionierenden Bahn Service gesehen ¯\_ (ツ) _ / ¯	Service_und_Kundenbetreuung 
*	Das Menschen immer ihre halbe Lebensgeschichte in der Bahn am Telefon erzählen müssen , verstehe ich nicht .	Atmosphäre 
http://www.facebook.com/152033178165965/posts/958446567524618?comment\_id=958568910845717#152033178165965\_958446567524618\_958568910845717	Re : DB Bahn Lukas Andreatta ... solltest mal öfter mit der Bahn fahren . .. was nützt es wenn ich pünktlich bin und der Zug kommt regelmäßig zu spät . Kopf einschalten . . dann posten .	Zugfahrt#Pünktlichkeit 
http://twitter.com/DerHerrGast/statuses/674642299041746944	" @DB_Bahn das macht mir deutlich mehr Sinn ;-) Zum Glück hat meine S1 heute " " nur " " + 9... Thx für die Auskunft ! "	unklare_Kategorie#nicht_identifizierbare_Kategorie 
*	@DB_Bahn das ist mir bekannt . Aber es gibt doch noch die Modelle vom #vlexx . Werden die irgendwann auch auf der Kuseler Strecke eingesetzt ?	unklare_Kategorie#nicht_identifizierbare_Kategorie 
http://www.facebook.com/152033178165965/posts/957572390945369?comment\_id=958213507547924#152033178165965\_957572390945369\_958213507547924	Re : DB Bahn Verspätete Züge Ausfälle .. Steige Leiber immer zu bus um wenn einer fährt ... die 2 Jahre ist echt schlimm geworden mit der bahn	Zugfahrt#Pünktlichkeit Sonstige_Unregelmaessigkeiten 
http://www.facebook.com/346392590975/posts/10153194714575976?comment\_id=10153195108320976#346392590975\_10153194714575976\_10153195108320976	Re : FAZ . NET - Frankfurter Allgemeine Zeitung Ich finde diese Sichtweise ebenso kurzsichtig . Ich fahre sehr gerne auf Bahnverbindungen , die zeitlich attraktiv sind , und das waren sie aufgrund der deutschen Teilung schlicht lange nicht bei den Ost-West-Verbindungen ... Wer einmal wie ich länger in Japan , China oder Frankreich war , weiß diese Verbindungen zu schätzen . Das große Problem ist hier der Föderalismus , der immer wieder lokale Dörfchen unbedingt mit Halten versorgen will , obwohl der ICE doch eigentlich vorbeifahren sollte . Es sollte meines Erachtens ein politisches Ziel sein , alle ICE-Strecken für mindestens 200 km / h zu ertüchtigen , soweit möglich ( außer vielleicht im Ruhrgebiet ) . Und was Frankfurt-Berlin angeht , so scheint mir der Abschnitt nach Fulda immer noch sehr langsam zu sein ; und die Reisezeit nach Dresden ist jetzt auch nicht gerade kurz , auch nach der NS . Aber Dresden scheint eh etwas abgehängt zu sein , wenn man mal die Reisezeiten nach Berlin so sieht . Und München-Berlin in 4 Stunden ist attraktiv , finde ich , alleine deshalb werden 5 Millionen Menschen vielleicht in Zukunft eher die Bahn nehmen als fliegen .	Zugfahrt#Fahrtzeit_und_Schnelligkeit Zugfahrt#Streckennetz 
*	Re : Hannoversche Allgemeine Zeitung / HAZ In Köln oder Berlin kann man eine Bahn mieten und drin feiern ... sowas wäre cool eine Party durch Hannover :)	unklare_Kategorie#nicht_vorhandene_Kategorie 
http://www.facebook.com/134389623262030/posts/1099901226710860?comment\_id=1100793503288299#134389623262030\_1099901226710860\_1100793503288299	Re : VVS Äh ja . Genau auf solch eine Antwort habe ich gewartet . Da die die S1 von Ehningen 10 nach , 25 nach und 55 nach fährt und die VVS ja auch normalerweise 5 min. Umsteigezeit in Rohr hat ist das wohl die falsche Antwort ... Ich brauche dank der vielen Verspätungen der S1 , S2 , S3 schon täglich ca. 10 bis 20 min. im Schnitt länger . Ich muss oft Gleitzeit aufsparen bzw. dafür nutzen meine Fehlzeit zu kompensieren . Ausserdem möchte ich auch mal daheim bei der Familie sein und nicht wieder irgendwo auf einem Bahnhof , mit anderen wartend auf die verspätete Bahn . Zur Info. .. ich fahre schon nen Bus frueher morgens , um die S Bahn in Echterdingen zu bekommen ...	Zugfahrt#Pünktlichkeit 
http://www.facebook.com/114882878547829/posts/985659271470181?comment\_id=985890898113685#114882878547829\_985659271470181\_985890898113685	Re : Kölner Verkehrs-Betriebe AG Die 4er Tickets der DB gelten die auch bei der KVB weil sonst muss sich meins Freundin am Freitag kein extra Ticket bis zu mir kaufen ???	Ticketkauf 
http://twitter.com/waltscrate/statuses/674530994465185792	RT @MobyNikk : #Bahn Das haben die neue Schnellfahrstrecke Leipzig-Erfurt und der BER gemeinsam : https://t.co/WtiFp9KODc @welt https://t.co/ …	unklare_Kategorie#nicht_identifizierbare_Kategorie 
http://www.gutefrage.net/frage/wie-viel-kostet-es-bitte-es-ist-dringend#answer-186331520	Wie viel kostet es bitte es ist dringend ? bahn.de hilft dir da bestimmt gutefrage.net-Tag : Reise gutefrage.net-Tag : Urlaub	Ticketkauf 
http://twitter.com/wahlborn/statuses/674566964627578880	@mazzomaz @Telekom_hilft @DB_Bahn .. das scheint .. normal .. zu sein	unklare_Kategorie#nicht_identifizierbare_Kategorie 
http://www.youtube.com/watch?v=uZnYAccmwo0#z134g3nwevjhvfawu04ch1dzbkiyfd1jc1s	ALso erlich ich finde die s. .. ALso erlich ich finde die serrie sehr schön doch dassd was mich am meisten erstaund hat dass so etwas bei Regio NRW der DB kommt gibt DB regio Südost doch mal nen tipp ﻿	unklare_Kategorie#nicht_identifizierbare_Kategorie 
*	Reisen mit der Bahn zwischen Lust und Frust Empfehlen Der MDR ist nicht für den Inhalt externer Internetseiten verantwortlich	unklare_Kategorie#nicht_identifizierbare_Kategorie 
http://twitter.com/bckaemper/statuses/674500252301422592	RT @Gelbkopfamazone : Natürlich sagt die Bahn der Fernsehturm sei sicher . Genauso sicher , wie die Trauerweide . Rote Karte zeigen ! #S21 http …	unklare_Kategorie#nicht_vorhandene_Kategorie 
http://www.facebook.com/152033178165965/posts/958639264172015#152033178165965\_958639264172015	Re : DB Bahn " Liebe Bahn , Im folgenden Gespräch mit einem Bekannten , geht es um das Schwarzfahren bzw. um den Missbrauch der BahnCard100 . Es ist schade , dass die Kontrollen in der ersten Klasse so nachlässig durchgeführt werden und ich in jeder Regionalbahn zwei mal kotrolliert und gefragt werde wo ich eingestiegen bin und wohin ich fahren möchte . " " Die müssten ja im Zug sagen " " Neeeh , sie sehen nicht so aus wie der typ auf der karte ! " " Und das machen die nicht , die schauen die im Schnitt 1,6 Sekunden lang an . Es gibt sogar welche die sagen schon " " Ok , danke !!! Möchten Sie was aus dem Bordbistro ? " " bevor ich die richtig aus dem Geldbeutel geholt habe . Und auf der Bahncard hab ich die längeren Schwarzen Haare , und in real life kurze blonde . Also schon ein Unterschied , und das überprüfen die keine Sekunde lang . Ich glaube ich könnte auch die alte abgelaufene zeigen . Nach dem Ausweiß fragen sie auch nicht , obwohl man den Laut den AGB bei der 100 mit sich führen soll . Den wollen sie immer nur bei den leuten sehen die online gebucht und was ausgedruckt haben . Hab dir ja auch schonmal erzählt dass ich damit einfach immer 1. Klasse fahre und 9 von 10 nichtmal wissen dass die bc100 für erste Klasse anders aussieht . Hatte mal einen von **nach **, der hat mich darauf hingewiesen bzw höflich gefragt ob ich ein upgrade hätte , da stellst dich einfach ein wenig blöd und peinlich berührt und dann sagt der auch " " hmm ... jaah . also bestellen sie sich doch noch einen Kaffee und dann passt das so " " " " Mein Wunsch : " " Gleiche Kontrollen überall " " . Danke ;) PS. : Gibt's für das verpfeifen ggf. ein paar BahnCard Prämienpunkte ? "	Service_und_Kundenbetreuung#Zugbetreuung Ticketkauf 
http://twitter.com/Urschoepfer/statuses/674459506902999040	RT @quirlimum : Ich fahre grade Bahn ... 28min . voller Ereignisse die einen kompletten Blog füllen würden ...	unklare_Kategorie#nicht_identifizierbare_Kategorie 
http://twitter.com/Pendlomator/statuses/674629462034616320	RT @wozzap1435 : Hey @DB_Bahn , ihr dürft mir ruhig mehr solch netter Fahrgäste gewinnen . Immer wieder gerne ! :D https://t.co/cnBr249yH2	Atmosphäre 
http://twitter.com/DochGirl/statuses/674751198629507073	9:37 Guten Morgen . Ich war krank gestern aber heute ist es besser . Und jetzt gibt es Leute , Husten haben . #Bahn	unklare_Kategorie#nicht_identifizierbare_Kategorie 
http://twitter.com/DamirLowenkind/statuses/674637993743933441	@DB_Bahn Ebula ? ihr Rassisten ! mein armer @pascalhlr hat Ebola er fährt nicht mehr mit euch ihr seit teuer und rassistisch !	unklare_Kategorie#nicht_identifizierbare_Kategorie 
http://www.facebook.com/129349103260/posts/10153358949688261?comment\_id=10153359026673261#129349103260\_10153358949688261\_10153359026673261	Re : stuttgarter-zeitung.de Eben nicht - die Bahn war schon zur Privatisierung ein Milliardenloch , da es dem Staat schlichtweg egal war .	unklare_Kategorie#nicht_vorhandene_Kategorie 
http://www.facebook.com/152033178165965/posts/954838487885426?comment\_id=958360297533245#152033178165965\_954838487885426\_958360297533245	Re : DB Bahn Ich liebe deutlich Bahn	Allgemein 
http://twitter.com/tboley/statuses/674521528369856512	Na toll , ab dem 13. 12. 2016 gibt es zwischen 17:01 und 19 Uhr keinen ICE mehr zischen Essen und Köln ! #bahn #Pendler	Zugfahrt#Streckennetz 
*	@jessenphil Bahn ? Ist in der Chefetage schon Feierabend ? ;-)	unklare_Kategorie#nicht_identifizierbare_Kategorie 
http://twitter.com/floradiemaus/statuses/674517123641810944	RT @neuepresse : Sonntag ist Fahrplanwechsel bei der #Bahn - mit neuen Zügen mit kostenlosem Wlan . https://t.co/mxc5t1nLB3 https://t.co/UDANM …	unklare_Kategorie#nicht_identifizierbare_Kategorie Zugfahrt#Streckennetz Connectivity#WLAN_und_Internet 
http://www.facebook.com/152033178165965/posts/954838487885426?comment\_id=958136737555601#152033178165965\_954838487885426\_958136737555601	Re : DB Bahn Bahn ?! Gewinne Aktionäre , kosten Bürger , Verrat der Politiker mit dem Verkauf von Volksvermögen an Aktionäre	unklare_Kategorie#nicht_identifizierbare_Kategorie 
http://www.facebook.com/191656040850/posts/10153674856165851?comment\_id=10153675289360851#191656040850\_10153674856165851\_10153675289360851	Re : MDR SPUTNIK Die Bahn wird schneller ... Wenn Sie mal kommt !	Zugfahrt#Fahrtzeit_und_Schnelligkeit Zugfahrt 
*	Umfrage : Bahntickets zu teuer | Bei Flügen zählt der Preis Mannheim ( dpa / tmn ) - Flugzeug , Bahn oder Fernbus : Diese Möglichkeiten haben Reisende , die in Deutschland oder im nahen Ausland unterwegs sind . Doch die Ticketpreise unterscheiden sich deutlich . Sind die Preise angemessen ? Das wollte eine repräsentat	Ticketkauf 
http://twitter.com/Da\_\_Lin/statuses/674622445316349953	Mutter zu 4-jährigem in der Bahn : “ Was macht man , wenn man schöne Frauen sieht ? - Genau , Aufmerksamkeit erregen , winken und Kussgeräusch . ”	Atmosphäre 
http://www.facebook.com/768905426534529/posts/943900319035038?comment\_id=943957049029365#768905426534529\_943900319035038\_943957049029365	Re : Bundesregierung Also hier bei uns in Frankfurt kommt mittlerweile so gut wie keine Bahn mehr pünktlich , zumindest morgens und abends wenn die Leute zur / von der Arbeit fahren . Natürlich wird dies nicht in den Statistiken der Bahn vermerkt . Auch bestellt die Bahn mal gerne 100 nagelneue VW Golfs obwohl diese dann auf dem Parkplatz rosten weil niemand sie braucht , es geht nur darum dass der Staat über die Bahn bestimmte Unternehmen subventioniert . Der Fahrgast darf es dann bezahlen .	unklare_Kategorie#nicht_vorhandene_Kategorie Zugfahrt#Pünktlichkeit 
http://twitter.com/VictorVetterle/statuses/674501305948356608	RT @Gelbkopfamazone : Natürlich sagt die Bahn der Fernsehturm sei sicher . Genauso sicher , wie die Trauerweide . Rote Karte zeigen ! #S21 http …	unklare_Kategorie#nicht_identifizierbare_Kategorie 
*	Re : Radio Vest Uns die Mitarbeiter der Bahn ... der Lokführer und die Mitarbeiter die den Zug reinigen müssen	unklare_Kategorie#nicht_identifizierbare_Kategorie 
*	DB Schenker Rail https://t.co/8koWIXrhiZ	unklare_Kategorie#nicht_identifizierbare_Kategorie 
http://www.facebook.com/167154977630/posts/10153655357342631?comment\_id=10153655449062631#167154977630\_10153655357342631\_10153655449062631	Re : SÜDWEST PRESSE Online Nun ja , wichtiger ist mal die Verspätungsrate besonders auf der Strecke Ulm-Stuttgart zu reduzieren . Jeden Tag zig Nahverkehrszüge ( inzwischen auch selbstverständlich ) verpätet und immer noch kein Kampf dagegen seitens der Bahn bzw. dem Land !	Zugfahrt#Pünktlichkeit 
http://www.facebook.com/216393369120/posts/10153428815204121?comment\_id=10153428868554121#216393369120\_10153428815204121\_10153428868554121	Re : NWZonline Ich fahre regelmäßig mit der Nordwest Bahn und da gibt es nichts zu meckern	Allgemein 
http://twitter.com/atbense/statuses/674480050817925120	Deutsche Bahn … @DB_Bahn https://t.co/1Th3cD0fz1	unklare_Kategorie#nicht_identifizierbare_Kategorie 
*	@DB_Bahn da wurde bis jetzt immer ein Browserfenster auf https://t.co/3T3UOXlORu geöffnet .	DB_App_und_Website 
http://ehrlichforum.iphpbb3.com/forum/20934508nx3903/alles-rund-um-die-lindenstrasse-f3/30-jahre-lindenstrasse-die-chronik-t4364.html#7	Re : 30 Jahre Lindenstrasse Die Chronik Der Bahnhof hier hat keinen Fahrkartenschalter . Man kann froh sein , wenn man einen Fahrkartenautomaten vorfindet . Um mit der Deutschen Bahn zu fahren , wäre ich auch erstmal ewig unterwegs , hier gibt es nur so eine Regionalbahn . Aber danke trotzdem .	Zugfahrt#Streckennetz Ticketkauf 
http://www.facebook.com/152033178165965/posts/975969195772355?comment\_id=976054002430541#152033178165965\_975969195772355\_976054002430541	Re : DB Bahn In Stuttgart immer etwas mehr Zeit für die S- Bahn nehmen . DB - Netz sorgt dort immer wieder für Störungen .	Zugfahrt#Streckennetz Zugfahrt#Pünktlichkeit 
http://www.lawblog.de/index.php/archives/2015/12/30/die-zeitung-aus-der-1-klasse/#comment-667796	Ja , wenn alle Toiletten in der 2. Klasse kaputt ... Ja , wenn alle Toiletten in der 2. Klasse kaputt sind . Aktuell ist das Problem , dass die Bahn in der 1. Klasse etwas zu sehr an der Preisspirale gedreht hat , bzw man hier verdichten will und deswegen auch Wagons vor dem Speisewagen als 2 Klasse definiert hat . Seitdem ist es nicht mehr wirklich ruhig in der 1. Klasse . Zumindest ich reise nicht 1. Klasse , weil ich mich für was besseres halte , sondern weil für mich der Aufpreis nur dann Sinn macht , wenn ich die Zeit dann auch arbeitend nutzen kann . Zumindest mich lenkt es jedoch ab , wenn alle 2 Minuten einer durch den Gang kommt um aufs Klo zu gehen oder sich an den Zeitungen zu bedienen . Denn sobald einer eine Zeitung hinter trägt , kommen die nächsten 2 und tun es dem ersten nach .	Atmosphäre Toiletten#Funktionsfähigkeit_Toiletten Atmosphäre#Lautstärke 
http://twitter.com/manduechen/statuses/682602849168154624	" " " 1991 wo der ICE kam und die deutsche Bahn dachte dass Schnelligkeit = Pünktlichkeit ist . War wohl nichts . " " "	unklare_Kategorie#nicht_vorhandene_Kategorie 
http://twitter.com/ibo\_ebooks/statuses/682637241856962560	Neuerfindung des Computers in der Bahn zu bekommen ist kompliziert geworden .	unklare_Kategorie#nicht_identifizierbare_Kategorie 
*	Re : WAZ Nicht die Polizei . Die Polizeigewerkschaften . Vergleich : Bahn vs. GDL .	unklare_Kategorie#nicht_identifizierbare_Kategorie 
http://twitter.com/carlaxoxo99/statuses/682575663937753088	die deutsche Bahn ist immer pünktlich ... nicht	Zugfahrt#Pünktlichkeit 
http://twitter.com/pparcival/statuses/682629820153491458	Die #Bahn beginnt den Tiefbauausbau bei #S21 , ohne ein tragbares Brandschutzkonzept zu haben .	Sicherheit unklare_Kategorie#nicht_vorhandene_Kategorie 
http://www.facebook.com/152033178165965/posts/976141832421758?comment\_id=976158339086774#152033178165965\_976141832421758\_976158339086774	Re : DB Bahn Toiletten besitzen die S- Bahnen in Rostock , Dresden , Leipzig / Halle , Magdeburg , Nürnberg , Rhein-Neckar , Hannover , Salzburg , Basel und die Linie Mönchengladbach - Dortmund . Je nach Region gibt es dafür verschiedene Ursachen : Teilweise werden die S-Bahn-Fahrzeuge dort auch für Regionalverkehrsleistungen herangezogen ( oder umgekehrt ) , teilweise ist auch die durchschnittliche Reiseweite in den S- Bahnen sehr hoch . Die Münchener S- Bahn hatte seit Ihrer Eröffnung 1972 nie WCs ( außer wenn auf den Linien S20 , S27 und A normale Regionalzüge eingesetzt wurden ) .	Toiletten unklare_Kategorie#nicht_identifizierbare_Kategorie 
http://twitter.com/HerrVonWalther/statuses/682659459559223302	Hier laufen Leute durch die S- Bahn , es wäre völlig töricht , denen Sprengstoff zu geben . Aber sie haben ganze Tüten davon voll .	Atmosphäre 
http://twitter.com/thomaseisenhuth/statuses/682650925710852096	@wohnblogAt Quark : Die Träumerei vom Tesla für jeden . Deutsche Bahn sollte Politiker rausschmeißen und endlich Kunden gewinnen .	unklare_Kategorie#nicht_vorhandene_Kategorie 
http://twitter.com/toastbrotEnte/statuses/682638799625666562	Die nächste Gruppe asozialer Jugendlicher , die laut Musik in der Bahn oder sonst wo hört , kriegt tierisch auf die Fresse .	Atmosphäre 
http://twitter.com/PirantifaSLFRU/statuses/682683397009965057	" RT @bahnsaru : Züge entsprechend der " " Entwicklung " " des #Bahn - #Fernverkehr #2016 auf der #Saalbahn @DB_Bahn #Saalfeld #Jena https://t.co/iWui … "	unklare_Kategorie#nicht_identifizierbare_Kategorie 
http://twitter.com/PirantifaSLFRU/statuses/682683397009965057	" " " Zukunft Bahn Gemeinsam für mehr Qualität , mehr Kunden , mehr Erfolg " " : Etwas zu spät für die Meldung vom 17.12 . … https://t.co/50p1ctNYDy "	unklare_Kategorie#nicht_identifizierbare_Kategorie 
http://twitter.com/bloggendebahner/statuses/682510329239199744	RT @golem : Opendata im SPNV : Deutsche Bahn öffnet sich weiter der Hackercommunity #DeutscheBahn https://t.co/T4iXjum9Wv	unklare_Kategorie#nicht_vorhandene_Kategorie 
http://twitter.com/anchuin14/statuses/682742781153021952	@Klobsi oh ... na ich hoffe da tut sich noch was . Meine Bahn ist voll aber nicht überfüllt :)	Auslastung_und_Platzangebot 
http://twitter.com/toastbrotEnte/statuses/682726282224906240	Neues Jahr geht ja prima los . Massenschlägerei in der Bahn am Hamburger Hauptbahnhof .	Atmosphäre 
http://twitter.com/missfiebie/statuses/682495825734406144	Scheiße ist diese Bahn schick ! __ *	unklare_Kategorie#nicht_identifizierbare_Kategorie 
http://twitter.com/LMuellerin/statuses/682513840811196416	RT @golem : Opendata im SPNV : Deutsche Bahn öffnet sich weiter der Hackercommunity #DeutscheBahn https://t.co/T4iXjum9Wv	unklare_Kategorie#nicht_vorhandene_Kategorie 
http://www.facebook.com/621073881333682/posts/913000355474365?comment\_id=913200925454308#621073881333682\_913000355474365\_913200925454308	Die ansagen in dieser Bahn sind warum auch immer analog und ich verstehe sie nur , weil ich die Haltestellen kenne .	Informationen 
http://twitter.com/marco2080/statuses/682586648849289216	Liebe . @DB_Bahn warum werden die sichersten Zahlungsmittel , mit einem Zahlungsmittelentgelt belegt ? #kopfschüttel	Ticketkauf 
http://twitter.com/Earthfriend88/statuses/682574661012590592	RT @Team_Hannes : „ Die Bahn hat die S- Bahn in der Region in den Keller gefahren “ , kritisiert der VCD-Landesvorsitzende . https://t.co/Q1Mtvb …	unklare_Kategorie#nicht_identifizierbare_Kategorie 
http://www.facebook.com/112784955679/posts/10153853984040680?comment\_id=10153854145750680#112784955679\_10153853984040680\_10153854145750680	Re : ZDF heute Nadine Quebbemann genau sogar 143 Euro . Und dürfen auch noch schwarzfahren ophne das etwas passiert . Die Kontrolleure gehen einfach weiter . gestern selbst erlebt in S- Bahn Hamburg . Keiner macht etwas . Man lässt sie gewähren . Können machen was sie wollen .	unklare_Kategorie#nicht_identifizierbare_Kategorie 
http://www.youtube.com/watch?v=P9AUzIBFSck	National Express , Very British ! Hi . Hier seht ihr den neuen Talent 2 BR 442 der National Express GmBH . Die Mitfahrt wurde auf der Strecke Köln-Bonn gefilmt , auf der Linie RB48 ( Rhein-Wupper-Bahn ) auf der Fahrt nach Bonn Mehlem . Dieser Zug selbst fuhr wegen einer technischen Störung nur bis Bonn Hbf.	Sonstige_Unregelmaessigkeiten Zugfahrt#Technische_Schäden_und_Störungen_am_Zug 
http://twitter.com/earlybird445/statuses/682513493032103936	RT @golem : Opendata im SPNV : Deutsche Bahn öffnet sich weiter der Hackercommunity #DeutscheBahn https://t.co/T4iXjum9Wv	unklare_Kategorie#nicht_vorhandene_Kategorie 
*	Re : Wo bleibt die Windkraft ? django65 hat geschrieben : Jetzt darf man gespannt sein wer von den beiden Neuen den Zuschlag bekommt . Wenn die Bahn kein Staatsbetrieb wäre könnten sie aber auch eine kleine Abtreilung aufbauendie sen Strom ohne Zwischenhändler an der Börse kauft und sich über die gesparten Kosten finanziert . = > Traum Ende . Es wird auf einen der beiden hinauslaufen und das werden Kohle Lore , der Dicke Doofe und ein paar Schecks entscheiden . Django	unklare_Kategorie#nicht_identifizierbare_Kategorie 
http://twitter.com/Traktion100/statuses/682513440980742144	RT @golem : Opendata im SPNV : Deutsche Bahn öffnet sich weiter der Hackercommunity #DeutscheBahn https://t.co/T4iXjum9Wv	unklare_Kategorie#nicht_vorhandene_Kategorie 
http://www.ice-treff.de/index.php?id=394276	Mich erschreckt die Bahn-Reaktion / Diebstahl bleibt Diebstahl " Mich erschreckt die Bahn-Reaktion / Diebstahl bleibt Diebstahl , Donnerstag , 31. Dezember 2015 , 11:36 Hier wird über den Rauswurf eines Fahrgastes aufgrund einer aus der 1. Klasse mitgenommenen Zeitung berichtet . Beim Bahn-Konzern wird der Vorfall bedauert . ( ... ) " " Auf jeden Fall werden wir ihm die Kosten für das zusätzliche Ticket erstatten . " " – Dafür dürfte der Lehrer auf der Strecke Augsburg – München 13 , 60 Euro bezahlt haben Wozu hat er eine extra Fahrkarte Augsburg - München gekauft ? Die ICE-Fahrkarte war doch eigentlich auch im RE gültig . Selbst bei Sparpreis greift dann logischerweise die Verspätungsregel . Besonders schlau ist dieser Fahrgast wohl nicht . Kennt weder Eigentumsrechte noch FGR und sowas nennt sich Lehrer ... Ich halte denm Fahrgast sogar für ausgesprochen dumm und nehme damit die Grenzen meiner Meinungsfreiheit in Anspruch . Leider ist auch eine Altersangabe im Artikel vorhanden , so dass auf den beruflichen Status geschlossen werden kann . Lehrer + Altersangabe bedeutet höchstwahrscheinlich Beamter . Der ein ganz besonderes Treueverhältnis zum Staat und seinen Regeln hat . Deshalb gefällt mir diese Passage aus dem Artikel sehr gut : " " Der irritierte Bahnkunde weigerte sich zunächst , seine Fahrt zu unterbrechen . Doch der Zugbegleiter verschaffte sich mit einer hinzugezogenen Polizistin Respekt . Mit der Drohung , dass die Sache auch zum " " Fall für die Polizei " " gemacht werden könne , hatte der Bahnmitarbeiter dann Erfolg . Weber gab sich geschlagen und fuhr den Rest der Strecke mit dem Regionalzug weiter . " " Für mich hat der Zub vorbildhaft gehandelt und verdient eine Belobigung , keine Entschuldigung . Denn die Frage ist : Wo fängt Diebstahl an , wo hört er auf ? Man denke an den früheren ICE-Sprinter zurück . Ein Schaffner stellt kurz das Tablett mit Kaffee ab und ein Lehrer ( 2 . Klasse Fahrgast ) bedient sich . Ist dies dann schon Diebstahl , weil der Kaffee mehr als eine Zeitung kostet ? Wo fängt das an , wo hört es auf ? Und alle weiteren Ausreden von nicht vernünftiger Markierung als Ausrede finde ich unverständlich . Deshalb ärgere ich mich , dass der Bahnsprecher auf den Fahrgast hereingefallen ist . Was sollen alle die kleinen Kiosk- Supermarktbetreiber sagen , bei denen Impulskaufartikel auch mal gerne zu Impulsklauartikeln werden ? Und ich als Kunde zahle dann in jeder n- ten Ritter Sport im Supermarkt auch die Magnetfolie mit die eingebaut werden muss und den Videooperator der im großen Supermarkt sein Adlerauge schweifen lassen muss . Irgendwie ein ärgerliches Thema .... Sicherheitshinweis : Lassen Sie Ihre Politiker nicht unbeaufsichtigt ! Security advice : Don't leave your politicians unattended ! "	unklare_Kategorie#nicht_identifizierbare_Kategorie Image 
http://www.facebook.com/79516702871/posts/10153449855987872?comment\_id=10153449983957872#79516702871\_10153449855987872\_10153449983957872	Re : NETT-WERK BERLIN Um kurz vor Mitternacht am Zoologischen Garten in die S- Bahn Richtung Hauptbahnhof . Der S- Bahn Fahrer soll wohl extra langsam fahren , damit man alles schön genießen kann :-)	Zugfahrt#Fahrtzeit_und_Schnelligkeit 
http://twitter.com/terrortubby/statuses/682601995761483779	Bahn kaputt \o/	Zugfahrt#Technische_Schäden_und_Störungen_am_Zug 
http://twitter.com/spicaterrible69/statuses/682564099121803264	Premium-Idioten in meiner Bahn !	Atmosphäre 
http://twitter.com/byScroxar/statuses/682534248293789697	ICH FAHRE NOCH BIS CA : 19 UHR WAS ?! ok Deutsche Bahn halt .	Zugfahrt#Fahrtzeit_und_Schnelligkeit Allgemein 
http://twitter.com/pihalbe/statuses/682485714299260928	RT @golem : Opendata im SPNV : Deutsche Bahn öffnet sich weiter der Hackercommunity #DeutscheBahn https://t.co/T4iXjum9Wv	unklare_Kategorie#nicht_vorhandene_Kategorie 
http://twitter.com/Grazywalking/statuses/682445230013059072	RT @BahnAnsagen : Noch keine Weihnachtsgeschenke ? Kurze Zeitreise in der Bahn ... Problem gelöst ! ( via Julian Graf ) #Bahn #Weihnachten https : …	unklare_Kategorie#nicht_identifizierbare_Kategorie 
http://twitter.com/Hatschebutz/statuses/682464545093345280	RT @stuttgarter1977 : #SBB - Nie wieder Stellwerkstörung ;-) https://t.co/7toXaatzmb #Bahn #DB	unklare_Kategorie#nicht_identifizierbare_Kategorie 
http://twitter.com/DeniseOnLine\_/statuses/682559257850593280	Ich könnte ja wieder anfangen ... aber , habt ihr schon gemerkt wie sehr ich Bahn fahren liebe ?	unklare_Kategorie#nicht_identifizierbare_Kategorie 
http://www.bym.de/forum/welt/484085-bym-silvester-31.html#post1072386065	AW : ?? BYM-SILVESTER ?????? Zitat von Jatzi und auf der Party stehste dann gelangweilt am rand ? machst du Party in Büllerbü ? erstmal stecke ich inner bahn fest , weil irgendwelche leute quatsch auf den gleisen machen hogott	Sonstige_Unregelmaessigkeiten 
http://twitter.com/FSue10/statuses/682687757387444224	@bahnsaru @DB_Bahn Wuhu , es gibt endlich wieder 2 CityNightLine Züge ! Halten die dann auch in Jena und Saalfeld ?	Zugfahrt#Streckennetz 
http://www.facebook.com/1475213562698128/posts/1737451236474358#1475213562698128\_1737451236474358	fnp.de S-Bahn-Tunnel wird erneut gesperrt : Neue Geduldsprobe für Frankfurt-Pendler | Frankfurter Neue ... + + + News + + + Neue Geduldsprobe für Frankfurt-Pendler ! http://www.fnp.de/lokales/frankfurt/Neue-Geduldsprobe-fuer-Frankfurt-Pendler;art675,1776864 Die wochenlange Sperrung des Frankfurter S-Bahn-Tunnels im vergangenen Sommer war nur der Anfang : 2016 kommt es für die Pendler noch dicker . Dafür steigen die Preise für Busse und Bahnen diesmal moderat .	Ticketkauf Zugfahrt#Streckennetz 
http://twitter.com/edoppelfi/statuses/682618530525765636	Zu mir kommt heute keiner weil die bahn verkackt hat geil danke ❤ ️	unklare_Kategorie#nicht_identifizierbare_Kategorie 
http://twitter.com/Niveaustifter/statuses/682709406811877377	Zurück aus der Innenstadt in #München , eben noch mit der S- Bahn durch den totenstillen Hauptbahnhof gerollt , selten Paris näher gefühlt .	Atmosphäre#Lautstärke unklare_Kategorie#nicht_vorhandene_Kategorie 
